name,width,height,source_x,source_y,ink_width,ink_height,placed_x,placed_y
EN-Start,704,192,115,50,630,151,37,25
TH-Start,704,192,795,50,629,151,38,25
EN-Continue,704,192,114,210,631,151,37,25
TH-Continue,704,192,795,210,629,151,38,25
EN-Settings,704,192,114,370,631,151,37,25
TH-Settings,704,192,795,370,629,151,38,25
EN-Resume,704,192,114,530,631,151,37,25
TH-Resume,704,192,795,530,629,151,38,25
EN-Back,704,192,114,690,631,151,37,25
TH-Back,704,192,795,690,629,151,38,25
EN-Quit,704,192,114,850,631,150,37,26
TH-Quit,704,192,795,850,629,150,38,26
Button-Normal,512,224,52,202,378,175,67,25
Icon-Settings,384,320,115,462,250,229,67,59
Button-Focused,512,224,451,202,426,175,19,25
Icon-Pause-Focused,384,320,506,461,307,230,13,58
Button-Pressed,512,224,906,202,381,175,66,25
Icon-Sound,384,320,965,462,256,229,64,59
Button-Disabled,512,224,1343,202,380,175,66,25
Icon-Close-Disabled,384,320,1403,461,255,230,65,58
